AccountID,Transactions,TotalAmount,AvgBalance,Segment
AC00251,4,2770.84,3080.4049999999997,High Value
AC00252,2,1501.57,6773.719999999999,Medium Value
AC00253,6,3093.84,3488.9883333333332,High Value
AC00254,6,1203.99,5198.929999999999,Medium Value
AC00255,3,1079.9,7753.016666666666,Medium Value
AC00256,3,1258.39,5221.81,Medium Value
AC00257,11,3410.02,6594.159090909091,High Value
AC00258,7,1599.6,3264.925714285714,Medium Value
AC00259,3,612.27,3837.0766666666664,Low Value
AC00260,4,521.0,3065.1549999999997,Low Value
AC00261,8,1161.03,5556.275000000001,Medium Value
AC00262,5,2352.36,2872.004,High Value
AC00263,5,1550.8400000000001,8126.625999999999,Medium Value
AC00264,6,2647.53,2540.1749999999997,High Value
AC00265,9,3953.6,5747.238888888889,High Value
AC00266,4,614.13,5184.8975,Low Value
AC00267,10,2003.11,3659.88,High Value
AC00268,4,1847.96,6291.055,High Value
AC00269,3,459.61,7879.653333333333,Low Value
AC00270,2,672.29,1960.1,Low Value
AC00271,5,711.53,2121.4260000000004,Low Value
AC00272,8,2341.84,4363.1975,High Value
AC00273,4,2390.7,4521.2575,High Value
AC00274,5,1330.3600000000001,6314.3279999999995,Medium Value
AC00275,9,1959.8000000000002,5409.711111111112,High Value
AC00276,5,1471.1399999999999,6876.454000000001,Medium Value
AC00277,3,1325.31,7847.46,Medium Value
AC00278,3,838.03,8107.5,Low Value
AC00279,9,2123.0,7029.763333333333,High Value
AC00280,5,1738.31,6585.808,Medium Value
AC00281,4,1152.11,7851.967500000001,Medium Value
AC00282,6,1785.78,7422.991666666666,High Value
AC00283,1,77.9,664.72,Low Value
AC00284,8,3533.35,5602.1900000000005,High Value
AC00285,7,2836.57,5298.9857142857145,High Value
AC00286,6,544.04,4575.341666666666,Low Value
AC00287,2,641.77,4740.825,Low Value
AC00288,3,1188.25,4081.3799999999997,Medium Value
AC00289,3,1039.22,4222.6033333333335,Medium Value
AC00290,4,1890.8600000000001,3901.575,High Value
AC00291,7,2828.13,7245.484285714286,High Value
AC00292,7,1954.23,7738.22,High Value
AC00293,4,311.78,4518.219999999999,Low Value
AC00294,4,1265.9299999999998,5869.889999999999,Medium Value
AC00295,6,1499.41,6326.121666666666,Medium Value
AC00296,4,1556.3899999999999,1070.6675,Medium Value
AC00297,10,2733.73,5831.1230000000005,High Value
AC00298,7,920.37,3864.9,Low Value
AC00299,4,482.93,7235.755,Low Value
AC00300,5,856.51,5231.218,Low Value
AC00301,6,2381.6,3055.98,High Value
AC00302,4,1906.67,7329.4125,High Value
AC00303,6,2989.45,5414.301666666666,High Value
AC00304,11,3651.8,6378.040909090909,High Value
AC00305,6,1382.87,7643.9800000000005,Medium Value
AC00306,6,1319.18,4522.18,Medium Value
AC00307,3,613.78,3353.773333333333,Low Value
AC00308,2,484.46000000000004,6050.63,Low Value
AC00309,1,52.04,8436.12,Low Value
AC00310,7,3079.8399999999997,3099.9471428571424,High Value
AC00311,6,1747.69,3588.736666666666,Medium Value
AC00312,4,1958.92,2322.4975,High Value
AC00313,3,743.6999999999999,5137.25,Low Value
AC00314,4,943.04,6035.6075,Low Value
AC00315,5,1008.0600000000001,5088.778,Medium Value
AC00316,6,3437.56,6999.878333333333,High Value
AC00317,7,3032.5499999999997,5200.824285714286,High Value
AC00318,5,2014.68,5194.2119999999995,High Value
AC00319,5,1668.43,4170.716,Medium Value
AC00320,5,1678.2600000000002,3435.1440000000002,Medium Value
AC00321,2,458.71999999999997,6583.134999999999,Low Value
AC00322,9,3066.67,4892.466666666666,High Value
AC00323,4,1280.0,6179.945,Medium Value
AC00324,5,1033.69,3700.8959999999997,Medium Value
AC00325,5,1658.28,5205.524,Medium Value
AC00326,5,1191.04,3002.6,Medium Value
AC00327,6,2757.33,2363.8233333333333,High Value
AC00328,5,753.73,5880.886,Low Value
AC00329,9,1984.6200000000001,4076.456666666667,High Value
AC00330,4,866.6700000000001,4218.5225,Low Value
AC00331,7,2331.31,3443.2514285714287,High Value
AC00332,8,2359.61,5286.797500000001,High Value
AC00333,3,536.54,7932.0,Low Value
AC00334,3,849.01,4797.21,Low Value
AC00335,2,343.19,6542.455,Low Value
AC00336,4,2126.4700000000003,2706.505,High Value
AC00337,8,4393.41,4463.3825,High Value
AC00338,7,2905.38,3110.2757142857145,High Value
AC00339,9,2508.6800000000003,5782.372222222223,High Value
AC00340,3,769.73,10344.413333333334,Low Value
AC00341,5,504.45,6483.114,Low Value
AC00342,3,629.39,3593.2833333333333,Low Value
AC00344,4,2291.6800000000003,5391.355,High Value
AC00345,9,2827.25,6014.265555555556,High Value
AC00346,1,180.46,831.75,Low Value
AC00347,3,784.52,2581.1966666666667,Low Value
AC00348,4,1444.96,3637.8025000000002,Medium Value
AC00349,6,1038.09,7319.05,Medium Value
AC00350,2,1815.84,3236.535,High Value
AC00351,2,295.41,1794.355,Low Value
AC00352,4,779.3,3500.565,Low Value
AC00353,5,383.75,4495.168,Low Value
AC00354,5,2087.7200000000003,5952.3099999999995,High Value
AC00355,3,916.01,3516.0533333333333,Low Value
AC00356,8,2583.27,5589.5599999999995,High Value
AC00357,6,1840.35,4306.788333333333,High Value
AC00358,8,3600.43,5731.01875,High Value
AC00359,6,2079.23,3581.4300000000003,High Value
AC00360,6,1934.23,5327.708333333333,High Value
AC00361,2,240.95,715.385,Low Value
AC00362,12,2991.32,5397.5616666666665,High Value
AC00363,12,4702.91,5502.639166666667,High Value
AC00364,1,143.54,6067.62,Low Value
AC00365,5,989.87,6982.93,Medium Value
AC00366,8,3043.79,5189.0650000000005,High Value
AC00367,7,1635.3000000000002,5213.394285714285,Medium Value
AC00368,4,1144.0,6403.389999999999,Medium Value
AC00369,6,2280.04,2938.8349999999996,High Value
AC00370,7,2410.87,5771.122857142857,High Value
AC00371,2,328.65,6745.415,Low Value
AC00372,3,2041.83,10161.173333333334,High Value
AC00373,9,2001.19,6042.548888888889,High Value
AC00374,6,1337.45,1561.5833333333333,Medium Value
AC00375,3,979.26,8947.153333333334,Low Value
AC00376,3,625.4300000000001,5243.913333333334,Low Value
AC00377,4,1188.67,3897.2525,Medium Value
AC00378,6,1977.91,3079.1733333333336,High Value
AC00379,2,741.48,1870.69,Low Value
AC00380,6,1176.67,4189.546666666667,Medium Value
AC00381,3,890.7,4714.416666666667,Low Value
AC00382,6,2327.19,3778.4233333333336,High Value
AC00383,4,555.0200000000001,2026.9250000000002,Low Value
AC00384,7,2562.23,4298.8328571428565,High Value
AC00385,7,4141.2,2371.3642857142854,High Value
AC00386,8,1743.57,3628.61625,Medium Value
AC00387,3,715.35,8244.94,Low Value
AC00388,2,1279.61,1244.13,Medium Value
AC00389,3,936.36,4131.94,Low Value
AC00390,7,1127.57,4912.302857142857,Medium Value
AC00391,3,467.81,4006.4500000000003,Low Value
AC00392,3,864.3399999999999,2030.6899999999998,Low Value
AC00393,8,1673.6499999999999,2569.13875,Medium Value
AC00394,7,1680.77,2488.424285714286,Medium Value
AC00395,3,952.25,1523.4533333333331,Low Value
AC00396,8,3286.7,5083.671249999999,High Value
AC00397,7,1853.92,4550.38,High Value
AC00398,7,2860.1800000000003,4951.162857142857,High Value
AC00399,5,1205.73,5699.268,Medium Value
AC00400,5,814.56,4708.2,Low Value
AC00401,6,1661.53,7084.893333333333,Medium Value
AC00402,4,1314.84,5179.305,Medium Value
AC00403,8,980.5699999999999,5085.89125,Medium Value
AC00404,4,349.65,5045.035,Low Value
AC00405,6,2566.05,5206.643333333333,High Value
AC00406,1,183.71,552.52,Low Value
AC00407,7,2718.1,4593.85,High Value
AC00408,2,556.38,3399.9300000000003,Low Value
AC00409,5,1314.6999999999998,7095.9800000000005,Medium Value
AC00410,5,1578.01,4947.503999999999,Medium Value
AC00411,6,1684.78,6963.801666666666,Medium Value
AC00412,4,1143.54,5227.5725,Medium Value
AC00413,4,1441.11,5580.67,Medium Value
AC00414,3,942.23,2148.7433333333333,Low Value
AC00415,3,108.16999999999999,8524.63,Low Value
AC00416,5,2543.88,6481.4619999999995,High Value
AC00417,5,771.68,5679.462,Low Value
AC00418,6,1718.02,4995.445000000001,Medium Value
AC00419,3,841.8199999999999,6613.096666666667,Low Value
AC00420,4,1791.58,3821.8450000000003,High Value
AC00421,3,664.12,2268.1966666666667,Low Value
AC00422,4,572.95,5097.965,Low Value
AC00423,6,3038.14,5645.848333333334,High Value
AC00424,5,1212.02,6675.386,Medium Value
AC00425,7,2487.14,3145.407142857143,High Value
AC00426,6,1494.1599999999999,2463.478333333333,Medium Value
AC00427,9,2397.55,3967.522222222222,High Value
AC00428,3,1727.94,3608.556666666666,Medium Value
AC00429,3,279.33,10324.609999999999,Low Value
AC00430,7,1473.01,5810.46,Medium Value
AC00431,7,2750.4500000000003,6754.105714285715,High Value
AC00432,7,1673.96,2751.132857142857,Medium Value
AC00433,3,1697.3,4376.833333333333,Medium Value
AC00434,7,1799.1,5989.077142857143,High Value
AC00435,2,429.59000000000003,4749.3,Low Value
AC00436,5,1034.87,8505.572,Medium Value
AC00437,4,922.17,3032.8925,Low Value
AC00438,8,1325.53,7599.81375,Medium Value
AC00439,9,4185.8099999999995,5329.817777777778,High Value
AC00440,1,201.69,7328.52,Low Value
AC00441,6,1907.69,2533.6150000000002,High Value
AC00442,9,1679.32,4952.461111111111,Medium Value
AC00443,4,2585.12,8000.0925,High Value
AC00444,4,496.37,5696.0599999999995,Low Value
AC00445,5,1787.5,2845.402,High Value
AC00446,5,1036.44,4029.4,Medium Value
AC00447,4,633.1,4753.37,Low Value
AC00448,7,1177.86,5047.368571428572,Medium Value
AC00449,5,796.4799999999999,6022.85,Low Value
AC00450,3,920.89,5345.143333333333,Low Value
AC00451,5,1536.38,4897.7,Medium Value
AC00452,7,1371.72,7546.721428571429,Medium Value
AC00453,9,2370.7000000000003,5334.753333333333,High Value
AC00454,4,1976.73,2173.075,High Value
AC00455,7,2132.36,5543.7,High Value
AC00456,11,3090.6000000000004,4777.488181818181,High Value
AC00457,3,784.78,6303.886666666666,Low Value
AC00458,7,1544.96,6175.627142857143,Medium Value
AC00459,7,1513.57,6053.5371428571425,Medium Value
AC00460,12,5570.34,4887.100833333333,High Value
AC00461,3,503.19999999999993,3679.2900000000004,Low Value
AC00462,6,494.2,2237.115,Low Value
AC00463,4,479.56,9311.2175,Low Value
AC00464,8,2702.17,6215.8425,High Value
AC00465,8,1502.65,7120.5125,Medium Value
AC00466,4,2635.9700000000003,5042.235,High Value
AC00467,3,1202.19,7243.649999999999,Medium Value
AC00468,4,445.52000000000004,7363.93,Low Value
AC00469,1,65.57,7513.79,Low Value
AC00470,4,1705.08,5462.8425,Medium Value
AC00471,6,1769.45,7503.031666666667,High Value
AC00472,1,588.37,1926.08,Low Value
AC00473,1,57.16,222.22,Low Value
AC00474,3,1126.97,7029.97,Medium Value
AC00475,8,967.23,2139.37125,Low Value
AC00476,1,506.81,2757.23,Low Value
AC00477,3,1019.03,5769.356666666667,Medium Value
AC00478,7,3046.3,5016.675714285715,High Value
AC00479,4,1369.76,6767.7375,Medium Value
AC00480,11,3309.5,6048.868181818182,High Value
AC00481,4,607.94,8325.45,Low Value
AC00482,6,1594.03,4463.378333333333,Medium Value
AC00483,4,1605.72,7497.5825,Medium Value
AC00485,2,680.99,3974.14,Low Value
AC00486,1,282.26,6857.2,Low Value
AC00487,4,480.52,2075.6875,Low Value
AC00488,4,1086.77,4945.969999999999,Medium Value
AC00489,3,397.8,9673.436666666666,Low Value
AC00490,5,1460.92,4401.54,Medium Value
AC00491,1,37.57,7739.54,Low Value
AC00492,5,789.24,6947.096,Low Value
AC00493,5,593.13,5214.969999999999,Low Value
AC00494,4,1873.41,1715.2775000000001,High Value
AC00495,8,2405.77,2709.59375,High Value
AC00496,3,595.88,6437.006666666665,Low Value
AC00497,6,1187.21,5153.616666666667,Medium Value
AC00498,8,3051.02,4545.0,High Value
AC00499,7,2321.29,4450.577142857143,High Value
AC00500,4,646.96,7947.58,Low Value
